Australia	.16	.75	.51	2.49	30,856	0
Austria	.17	.60	.53	2.88	30,966	0
Bulgaria	.03	.25	.44	2.92	7,991	1
Canada	.18	.96	.44	2.54	31,843	0
Czech Republic	.04	.43	.39	3.67	17,303	1
Denmark	.15	.71	.52	4.48	30,305	0
Finland	.09	.61	.54	4.93	27,359	0
France	.17	.29	.54	2.26	28,098	0
Germany	.15	.66	.43	3.38	28,176	0
Hungary	.03	.34	.36	2.21	14,546	1
Ireland	.12	.40	.47	3.38	34,438	0
Israel	.11	.31	.60	6.17	21,437	0
Latvia	.18	.43	.54	5.02	10,262	1
Netherlands	.16	.45	.65	4.74	31,706	0
Norway	.16	.48	.55	5.35	42,721	0
Poland	.04	.38	.46	3.60	11,741	1
Portugal	.06	.23	.41	2.50	19,391	0
Slovakia	.08	.16	.56	6.12	13,576	1
Slovenia	.06	.22	.54	4.86	20,329	1
Spain	.14	.50	.51	2.48	25,161	0
Sweden	.15	.58	.51	4.23	29,625	0
Switzerland	.19	.80	.61	5.01	32,764	0
UK	.11	.37	.36	2.17	29,051	0
USA	.18	.80	.41	2.00	38,324	0

